#\tilde{\Omega};Ω̃
\to;→
\le;≤
\ge;≥
\dots;…
\parr;⅋
\colon;:
\vert;|
# --------- brackets --------------
\left \{;{
\right \};}
\big(;(
\big);)
\bigg);)
\bigg);)
\Big(;(
\Big);)
\left(;(
\right);)
\left[;[
\right];]
\bigl \{;{
\bigr \};}
# ---------- functions -------------
\arccos
\arcsin
\arctan
\cos
\cosh
\cot
\coth
\csc
\deg
\det
\dim
\exp
\gcd
\hom
\inf
\ker
\lg
\lim
\liminf
\limsup
\ln
\log
\max
\min
\sec
\sin
\sinh
\sup
\tan
\tanh
\mod
# ---------- special letters -------
\tilde{O};Õ
\tilde{o};õ
\rightharpoondown;⇁;021C1
\downharpoonright;⇂;021C2
\downharpoonleft;⇃;021C3
\rightleftarrows;⇄;021C4
\updownarrows;⇅;021C5
\leftrightarrows;⇆;021C6
\leftleftarrows;⇇;021C7
\upuparrows;⇈;021C8
\rightrightarrows;⇉;021C9
\downdownarrows;⇊;021CA
\leftrightharpoons;⇋;021CB
\rightleftharpoons;⇌;021CC
\nLeftarrow;⇍;021CD
\nLeftrightarrow;⇎;021CE
\nRightarrow;⇏;021CF
\Leftarrow;⇐;021D0
\Uparrow;⇑;021D1
\Rightarrow;⇒;021D2
\Downarrow;⇓;021D3
\Leftrightarrow;⇔;021D4
\Updownarrow;⇕;021D5
\Nwarrow;⇖;021D6
\Nearrow;⇗;021D7
\Searrow;⇘;021D8
\Swarrow;⇙;021D9
\Lleftarrow;⇚;021DA
\Rrightarrow;⇛;021DB
\leftsquigarrow;⇜;021DC
\rightsquigarrow;⇝;021DD
\dashleftarrow;⇠;021E0
\dashrightarrow;⇢;021E2
\LeftArrowBar;⇤;021E4
\RightArrowBar;⇥;021E5
\downuparrows;⇵;021F5
\pfun;⇸;021F8
\ffun;⇻;021FB
\leftarrowtriangle;⇽;021FD
\rightarrowtriangle;⇾;021FE
\leftrightarrowtriangle;⇿;021FF
\forall;∀;02200
\complement;∁;02201
\partial;∂;02202
\exists;∃;02203
\nexists;∄;02204
\varnothing;∅;02205
\nabla;∇;02207
\in;∈;02208
\notin;∉;02209
\ni;∋;0220B
\nni;∌;0220C
\prod;∏;0220F
\coprod;∐;02210
\sum;∑;02211
\mp;∓;02213
\dotplus;∔;02214
\slash;∕;02215
